step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
181,P,E,frwd,-10,-0.43860145610493895,0.0,0.43860145610493895,0.2806992719475305,0.0,"{""frwd"": -9.99998143788408}"
182,E,E,frwd,-10,-8.504100822683824e-05,0.0,8.504100822683824e-05,0.4999574794958866,0.0,"{""frwd"": -9.99998143788408}"
183,S,S1,,-1,-8.504100822683824e-05,0.0,0.0,0.0,0.0,"{""frwd"": -21.076326444083236}"
184,S1,G,frwd,10,-0.5774746950934524,0.7916666666666666,0.5774746950934524,0.2112626524532738,0.0,"{""frwd"": 9.717524751000001}"
185,G,G,frwd,10,11.94662961599497,0.0,1.0,1.0,0.0,"{""frwd"": 9.717524751000001}"
186,S,S1,,-1,11.94662961599497,0.0,0.0,0.0,0.0,"{""frwd"": -9.129696828088266}"
187,S1,P,frwd,-5,2.821357709753226,0.22448979591836737,1.0,1.0,0.0,"{""frwd"": -18.999784865076474}"
188,P,E,frwd,-10,-3.891032865144169,0.0,1.0,0.0,0.0,"{""frwd"": -9.999987006518856}"
189,E,E,frwd,-10,-6.1032237148950225e-05,0.0,6.1032237148950225e-05,0.49996948388142554,0.0,"{""frwd"": -9.999987006518856}"
190,S,S1,,-1,-6.1032237148950225e-05,0.0,0.0,0.0,0.0,"{""frwd"": -13.020729693232434}"
191,S1,P,frwd,-5,0.9243715232383323,0.21999999999999997,0.9243715232383323,0.9621857616191661,0.0,"{""frwd"": -18.999845897313623}"
192,P,E,frwd,-10,-2.7237394843049483,0.0,1.0,0.0,0.0,"{""frwd"": -9.999990904563198}"
193,E,E,frwd,-10,-4.377503797634574e-05,0.0,4.377503797634574e-05,0.4999781124810118,0.0,"{""frwd"": -9.999990904563198}"
194,S,S1,,-1,-4.377503797634574e-05,0.0,0.0,0.0,0.0,"{""frwd"": -15.744469177537383}"
195,S1,P,frwd,-5,-0.08834959449550314,0.21568627450980393,0.08834959449550314,0.4558252027522484,0.0,"{""frwd"": -18.9998896723516}"
196,P,E,frwd,-10,-1.906629458273717,0.0,1.0,0.0,0.0,"{""frwd"": -9.999993633194238}"
197,E,E,frwd,-10,-3.137925696456989e-05,0.0,3.137925696456989e-05,0.4999843103715177,0.0,"{""frwd"": -9.999993633194238}"
198,S,S1,,-1,-3.137925696456989e-05,0.0,0.0,0.0,0.0,"{""frwd"": -17.6510986358111}"
199,S1,P,frwd,-5,-0.5766346698807557,0.21153846153846156,0.5766346698807557,0.21168266505962213,0.0,"{""frwd"": -18.999921051608563}"
200,P,E,frwd,-10,-1.3346490931909827,0.0,1.0,0.0,0.0,"{""frwd"": -9.999995543235967}"
201,E,E,frwd,-10,-2.24811911422762e-05,0.0,2.24811911422762e-05,0.4999887594044289,0.0,"{""frwd"": -9.999995543235967}"
202,S,S1,,-1,-2.24811911422762e-05,0.0,0.0,0.0,0.0,"{""frwd"": -18.98574772900208}"
203,S1,P,frwd,-5,-0.7639995240780945,0.2075471698113207,0.7639995240780945,0.11800023796095277,0.0,"{""frwd"": -18.999943532799705}"
204,P,E,frwd,-10,-0.9342604351552963,0.0,0.9342604351552963,0.032869782422351834,0.0,"{""frwd"": -9.999996880265176}"
205,E,E,frwd,-10,-1.6097831686323616e-05,0.0,1.6097831686323616e-05,0.49999195108415684,0.0,"{""frwd"": -9.999996880265176}"
206,S,S1,,-1,-1.6097831686323616e-05,0.0,0.0,0.0,0.0,"{""frwd"": -19.920008164157377}"
207,S1,P,frwd,-5,-0.787049984346596,0.20370370370370372,0.787049984346596,0.106475007826702,0.0,"{""frwd"": -18.99995963063139}"
208,P,E,frwd,-10,-0.6539866510232631,0.0,0.6539866510232631,0.17300667448836843,0.0,"{""frwd"": -9.999997816185623}"
209,E,E,frwd,-10,-1.1521180700668765e-05,0.0,1.1521180700668765e-05,0.49999423940964965,0.0,"{""frwd"": -9.999997816185623}"
210,S,S1,,-1,-1.1521180700668765e-05,0.0,0.0,0.0,0.0,"{""frwd"": -20.57399481518064}"
211,S1,P,frwd,-5,-0.727511384818898,0.19999999999999996,0.727511384818898,0.136244307590551,0.0,"{""frwd"": -18.99997115181209}"
212,P,E,frwd,-10,-0.45779376643507275,0.0,0.45779376643507275,0.2711031167824636,0.0,"{""frwd"": -9.999998471329937}"
213,E,E,frwd,-10,-8.241715455170605e-06,0.0,8.241715455170605e-06,0.4999958791422724,0.0,"{""frwd"": -9.999998471329937}"
214,S,S1,,-1,-8.241715455170605e-06,0.0,0.0,0.0,0.0,"{""frwd"": -21.031788581615714}"
215,S1,G,frwd,10,-0.6328622863106996,0.8035714285714286,0.6328622863106996,0.18356885684465019,0.0,"{""frwd"": 9.8022673257}"
216,G,G,frwd,10,11.956148752423713,0.0,1.0,1.0,0.0,"{""frwd"": 9.8022673257}"
217,S,S1,,-1,11.956148752423713,0.0,0.0,0.0,0.0,"{""frwd"": -9.075639829192001}"
218,S1,P,frwd,-5,2.7851565627369133,0.21052631578947367,1.0,1.0,0.0,"{""frwd"": -18.999979393527546}"
219,P,E,frwd,-10,-3.907302487494837,0.0,1.0,0.0,0.0,"{""frwd"": -9.999998929930955}"
220,E,E,frwd,-10,-5.8930230935061445e-06,0.0,5.8930230935061445e-06,0.49999705348845325,0.0,"{""frwd"": -9.999998929930955}"
221,S,S1,,-1,-5.8930230935061445e-06,0.0,0.0,0.0,0.0,"{""frwd"": -12.982942316686838}"
222,S1,P,frwd,-5,0.8946379222922332,0.2068965517241379,0.8946379222922332,0.9473189611461166,0.0,"{""frwd"": -18.99998528655064}"
223,P,E,frwd,-10,-2.735113332362621,0.0,1.0,0.0,0.0,"{""frwd"": -9.999999250951669}"
