step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
206,P,E,frwd,-10.0,-0.7604697525253342,0.0,0.0,0.0,0.0,"{""frwd"": -9.999998471329937}"
207,E,E,frwd,-10.0,-8.241715455170605e-06,0.0,0.0,0.0,0.0,"{""frwd"": -9.999998471329937}"
208,S,S1,,-1.0,-8.241715455170605e-06,0.0,0.0,0.0,0.0,"{""frwd"": -20.32554461407177}"
209,S1,P,frwd,-5.0,-0.9113815850903538,0.0,0.0,0.0,0.0,"{""frwd"": -18.999979393527546}"
210,P,E,frwd,-10.0,-0.5323310520309065,0.0,0.0,0.0,0.0,"{""frwd"": -9.999998929930955}"
211,E,E,frwd,-10.0,-5.8930230935061445e-06,0.0,0.0,0.0,0.0,"{""frwd"": -9.999998929930955}"
212,S,S1,,-1.0,-5.8930230935061445e-06,0.0,0.0,0.0,0.0,"{""frwd"": -20.857875666102675}"
213,S1,P,frwd,-5.0,-0.7816964936115919,0.0,0.0,0.0,0.0,"{""frwd"": -18.99998528655064}"
214,P,E,frwd,-10.0,-0.37263332753787,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999250951669}"
215,E,E,frwd,-10.0,-4.211791758024219e-06,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999250951669}"
216,S,S1,,-1.0,-4.211791758024219e-06,0.0,0.0,0.0,0.0,"{""frwd"": -21.230508993640544}"
217,S1,P,frwd,-5.0,-0.64779854396334,0.0,0.0,0.0,0.0,"{""frwd"": -18.999989498342398}"
218,P,E,frwd,-10.0,-0.2608444664602846,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999475666169}"
219,E,E,frwd,-10.0,-3.0089271458422216e-06,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999475666169}"
220,S,S1,,-1.0,-3.0089271458422216e-06,0.0,0.0,0.0,0.0,"{""frwd"": -21.49135346010083}"
221,S1,P,frwd,-5.0,-0.5238869867186139,0.0,0.0,0.0,0.0,"{""frwd"": -18.999992507269543}"
222,P,E,frwd,-10.0,-0.1825919389325282,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999632966318}"
223,E,E,frwd,-10.0,-2.1487200434933127e-06,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999632966318}"
224,S,S1,,-1.0,-2.1487200434933127e-06,0.0,0.0,0.0,0.0,"{""frwd"": -21.673945399033357}"
225,S1,P,frwd,-5.0,-0.41602071421481274,0.0,0.0,0.0,0.0,"{""frwd"": -18.999994655989585}"
226,P,E,frwd,-10.0,-0.12781493740718056,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999743076422}"
227,E,E,frwd,-10.0,-1.5338337586712214e-06,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999743076422}"
228,S,S1,,-1.0,-1.5338337586712214e-06,0.0,0.0,0.0,0.0,"{""frwd"": -21.801760336440537}"
229,S1,G,frwd,10.0,-0.32572453305030746,0.0,0.0,0.0,0.0,"{""frwd"": 9.59646393}"
230,G,G,frwd,10.0,12.13157336203216,0.0,0.0,0.0,0.0,"{""frwd"": 9.59646393}"
231,S,S1,,-1.0,12.13157336203216,0.0,0.0,0.0,0.0,"{""frwd"": -9.670186974408377}"
232,S1,P,frwd,-5.0,3.0475176346134685,0.0,0.0,0.0,0.0,"{""frwd"": -18.999996189823342}"
233,P,E,frwd,-10.0,-3.728942878929789,0.0,0.0,0.0,0.0,"{""frwd"": -9.999999820153496}"
